id,task,task_label,brief
627,627,Record a high number on a pedometer,"Record the highest number on this pedometer.
You have 20 minutes.
Your time starts now."
628,628,Hold a meeting with yourselves,"Hold a meeting with yourselves.
There must be eight of you at the meeting.
Most dramatic meeting moment wins.
You have 20 minutes.
Your time starts now."
629,629,Correctly guess the person's first name,"Correctly guess this person's first name.
You most ask a 'yes' or 'no' question on your turn.
If you take more than 10 seconds to ask your question, you miss a go.
The person who guesses correctly wins 5 points."
630,630,Display your vocal range,"Sing ""I've won"" in your lowest voice, and ""this tie-break"" in your highest voice.
Greatest vocal range wins."
631,631,The nicest thing to put your finger in,Bring in the nicest thing to put your finger in.
632,632,Show off,"Show off.
Biggest show-off wins.
You have 20 minutes.
Your time starts now."
633,633,Deliver a cocktail to Greg,"Deliver a cocktail to Greg.
Your cocktail must have the following ingredients:
3 different liquids, shaken and stirred.
1 piece of fruit.
Quite a bit of ice.
Every ingredient must pass through a head pipe before entering the Taskmaster's glass.
Fastest wins.
Your time starts now, and ends when you have garnished your cocktail with the umbrella."
634,634,Create an edible sculpture,"Sculpt the most beautiful sculpture.
Your sculpture must weigh exactly 150g and be entirely edible.
You have five minutes to order your ingredients, then 20 minutes to sculpt your sculpture.
Your time starts now."
635,635,Eat your beautiful sculpture,"Completely consume your beautiful sculpture.
Fastest wins.
Your time starts now."
636,636,Build the tallest tower of toilet rolls,"Build the tallest tower of toilet rolls in front of your spot.
You have 100 seconds.
After 100 seconds, you will throw both of your shoes at the towers, one at a time, from the throwing spot.
Whoever builds the tallest tower will throw first.
The tallest toilet roll tower after all shoes are thrown wins."
637,637,The loveliest thing to hold above your head,Bring in the loveliest thing to hold above your head.
638,638,Learn Swedish,"Learn Swedish.
You will have a five minute conversation with a Swedish person in 15 minutes from now.
The phrase book and tablet must remain in the caravan.
Best demonstration of the Swedish language wins.
Your time starts when you first said 'Swedish'."
639,639,Poke your tongue out for the longest time,"Stick your tongue out as far as it will go, and keep it out until further notice.

Every time Alex blows his whistle, you must lick the lemon, then the sherbet, then the ice lolly.
Every time Alex honks his horn, you must hold your tongue in front of the fan for five seconds.
The tongue that sticks out for the longest time wins."
640,640,Walk through the door wearing the longest shoes and biggest hat,"Walk through this doorway wearing the longest shoes and the biggest hat.
You must open the door and walk through this doorway wearing your long shoes and big hat within the next 20 minutes.
There's a bonus point for the most stylish.
Your time starts now."
641,641,Write down things that fit the category,"Write down five things that fit the category given by the Taskmaster.
Your team will receive a point if both players write down the same thing.
If someone from the other team writes the same word as you, that word must be wiped from the boards.
The team with the most points wins.
You have 30 seconds to write your things, and you must be silent and still throughout."
642,642,The best object with a handle,Bring in the best object with a handle.
643,643,Get the most surprising thing delivered,"Get the most surprising thing delivered to the Taskmaster house.
You have six hours.
Your time starts now."
644,644,Make the longest cup snake,"Make the longest cup snake, and lie down next to it, outside this building.
You may only leave the building twice.
You have 10 minutes.
Your time starts now."
645,645,Poke a body part out of the shower curtain,"Poke a part of your body out of the shower curtain and waggle it about for 10 seconds.
The Taskmaster will guess what part of the body it is.
The biggest part of the body that the Taskmaster incorrectly identifies wins.
You must poke your body part out of the shower curtain and waggle it about within the next 15 minutes."
646,646,Predict how many cans you can fit in a bag,"Write down how many tin cans you think you can fit in your bag.
The highest predicted number fitted in a zipped-up bag within one minute wins.
If you don't zip up your bag or fit your predicted number of tin cans in your bag, you will be disqualified.
After Alex blows his whistle, you will have 10 seconds to write down your number."
647,647,The finest family heirloom,Bring in the finest family heirloom.
648,648,Identify the liquids,"Identify the liquids.
Most accurately identified liquids wins.
You have 10 minutes.
Your time starts now."
649,649,Get the most ducks in Alex's basket,"Get the most ducks in Alex's basket.
You may only hold one duck at a time.
If Alex rings his backwards bell, you must walk backwards until he honks his forwards horn.
Alex will pedal as fast as he can unless you say one of the magic words.
If you say a magic word, Alex will rest for 10 seconds.
All the magic words are single-use magic words.
Alex will cycle round the circuit for 10 minutes.
Your time starts when Alex honks his horn."
650,650,Record a multi-track song about your team,"Record the best multi-track song about your team.
You must record all six tracks with your voice or body, and each person must record the same number of tracks.
Most powerful multi-track song wins.
You have 20 minutes.
Your time starts now."
651,651,Draw a life-size self portrait with your nose in the canvas,"Draw a life-size self portrait.
Your nose must be poking through your nose hole at all times.
Most accurate self portrait wins.
You have 200 seconds."
652,652,Look the most like a champion in the Taskmaster titles,"Look the most like a champion in the Taskmaster titles.
You must do five different heroic things for five seconds.
You have 20 minutes.
Your time starts now."
653,653,"The thing that makes everyone go, ""Wow, that really is the greatest thing.""","Bring in the thing that makes everyone go, ""Wow, that really is the greatest thing."""
654,654,Feed yourself a grape in the most elaborate way,"Feed yourself a grape in the most elaborate way.
Most elaborate self-feeding of a grape wins.
You have one hour.
Your time starts now."
655,655,Create a wonderful seaside photo cut-out board,"Cut holes in and create a scene on this board so that when you and Alex stick parts of your body through the holes, it looks wonderful.
Most wonderful scene wins.
You have 20 minutes.
Your time starts now."
656,656,Get the duck into the pond,"Get this duck into that pond.
The duck must be launched from behind this rope, and you must stay behind this rope during its journey.
You may not move the rope or the pond.
Fastest wins.
Your time starts now."
657,657,"Suitcase full of bricks, or suitcase full of balloons?","Pack either five bricks or five balloons in your bag.
One at a time, you must then walk across the stage and place your bag on the circle near the Taskmaster, who will guess whether you were packing bricks or balloons.
If he guesses correctly, you are eliminated.
If you deceive him, you qualify for another round.
Most deceptions wins.
You will have 100 seconds to pack your bag."
658,658,The most jaw-dropping item,Bring in the most jaw-dropping item.
659,659,What ten films are you in?,"What ten films are you in?
You have 15 minutes.
Most correct films named wins.
Your time starts now."
660,660,Land loo roll in the toilet,"Land loo roll in the loo.
You must stay on the spot at all times.
Most loo roll in the loo wins.
You have 15 minutes.
Your time starts now."
661,661,Create the best picture of a bird,"Create the best picture of a bird on the black square.
You may not step on or do anything to the black square.
Alex will walk towards you every time you name a different bird.
Alex will stop moving every time you name a different fish.
You have a maximum of 15 minutes.
Your time starts when Alex withdraws his nail."
662,662,Don't pop the balloon,"Get the most weight on the see-saw without popping the balloon.
Taking it in turns, you must place a single item of your additional clothing in the triangular basket.
The most weight in the triangular basket when the balloon pops wins, but if you pop the balloon, you get zero points."
663,663,The best thing you can't throw away,"Bring in the best thing you nearly keep throwing away, but can't quite bring yourself to."
664,664,"Print, laminate, and distribute the most signs","Print, laminate, and distribute the most signs.
Each of your signs must be placed on a different seat, and all your signs must have a different instruction.
You have 20 minutes.
Your time starts now."
665,665,Obey all your signs,"Obey all your signs.
Highest percentage of signs obeyed wins.
You have three minutes.
Your time starts now."
666,666,Put five grapes in the little bowl,"Put five grapes in the little bowl.
You've got five minutes.
You must wear the flippers as gloves for the entire five minutes.
The most flour still on the plate after five minutes wins.
Your time starts now."
667,667,Sort the ducks and the socks,"Sort the ducks and the socks.
Ducks go in the front bucket.
Socks go in the back bucket.
All ducks and socks must travel along both treadmills, then fall directly into the correct bucket.
If a duck or sock lands on the floor, you may not retrieve it.
Most ducks and socks in correct bucket wins.
There is a pair of bonus points for the most correctly paired socks.
You have 15 minutes.
Your time starts now."
668,668,Make the Taskmaster say your words,"Make the Taskmaster say your words.
Each team will ask one question at a time, and each question must be made up of exactly six words.
Also, each team member must take it in turns to say two words of each question.
First to make the Taskmaster say your word wins."
669,669,The thing you most want on a Sunday morning,Bring in the thing that you most want on a Sunday morning.
670,670,Put the most sand in the shopping trolley,"Place half your hands on half your hips, and leave them there until the second part of the task is over.
Also, the hands that are on hips must only touch those hips until the second part of the task is over.
You have two minutes.

With your hands on those hips at all times, put the most sand in the shopping trolley.
You may only move the shopping trolley when there is one minute left on the clock.
You have 10 minutes.
Your time starts now."
671,671,Identify the ice cream flavours,"Identify the ice cream flavours.
The most correct ice cream flavours identified wins.
You have 10 minutes, and you must find every flavour delicious.
Your time starts now."
672,672,Catch something,"Catch something.
The most spectacular catch wins.
You have 20 minutes.
Your time starts now."
673,673,Play your sounds right,"Predict whether an item will create a higher or lower number of decibels than the previous item.
If you are wrong, you are out.
Last player standing wins."
674,674,The greatest addition to a garden,Bring in the greatest addition to a garden.
675,675,Turn on the bubble machine,"Turn on the bubble machine.
You may not step off or move the doormat.
Fastest wins.
Your time starts now."
676,676,Get the tarpaulin into one of the containers,"Get this tarpaulin completely in one of the containers.
You have a maximum of five minutes, and you must select your container before touching the tarpaulin.
Also you must tidy everything up within those five minutes.
Smallest container successfully filled with the tarpaulin wins.
Your time starts after you've selected your container, and you must select your container within the next 30 seconds."
677,677,Write a classic song incorporating five wonderful words,"Write down five wonderful words.
You have one minute.
Your time starts now.

Write a classic song.
You must write lyrics for a piece of classical music.
Your lyrics must contain your five wonderful words.
You have 30 minutes.
Your time starts now."
678,678,Egg and spoon throw,"Throw your egg and your spoon the same distance.
Both egg and spoon must cross the qualifying line.
If either your egg or spoon fall of The Knappett, you are disqualified.
The most distanced egg and spoon each round are out.
If your egg doesn't break, your distance is halved.
Last player standing wins."
679,679,The most useless thing that cost over £20,Bring in the most useless thing that you've bought that cost over £20.
680,680,Get the most pleasure from these rubber chutes,"Get the most pleasure from all of these rubber chutes.
You have 30 minutes.
Your time starts now."
681,681,Perform the best routine to this music,"Perform the best routine to this musical backing.
You've got 30 minutes.
Your time starts now."
682,682,Luggage trolley bowling,"Place one luggage trolley a certain distance away from the line.
Then, starting behind the line, strike that luggage trolley with another luggage trolley.
If you strike the first luggage trolley with another luggage trolley, you may move the first luggage trolley further away.
You may not move any unsuccessful luggage trollies.
Furthest luggage trolley struck wins.
You have 10 minutes.
Your time starts now."
683,683,Communicate animals by saying letters and doing impressions,"One member of your team must write down ten animals in two minutes.

Communicate the other teams' animals to your team members by saying the letter that comes before it in the alphabet over and over whilst doing an impression of that animal.
Most correct animals named wins.
You have two minutes and one pass."
684,684,The best thing you've ever received in the post,Bring in the best thing you've ever received in the post.
685,685,Hold the milk bottles above the microwaves,"Within 30 seconds of opening this task, you must pick up both milk bottles and hold them directly above the microwaves.
The clock stops when a milk bottle, hand, or arm touches a microwave, or is no longer directly above the microwave.
Lowest number on the clock wins, but if the clock reaches zero, you're disqualified."
686,686,Reach the end of two lanes in the same amount of time,"Get to the end of the lanes in exactly the same amount of time.
That time must be under one minute.
The closest two times wins.
Also, you must mirror yourself during your attempts.
There are two bonus points for the most stylish mirroring.
Both attempts must take place within the next 10 minutes."
687,687,Strike the bullseye with your paint,"Strike the bullseye with your paint.
You must only step on the stepping-stones, and you must step on all of the stepping-stones.
Also, your hands must be below your waist at all times.
Fastest wins.
Your time starts now."
688,688,Paint a unicorn using your head brush,"Paint a picture of a unicorn using your head brush.
You may not handle your head brush at any point.
You have two minutes."
689,689,The thing you'd most like to have on a car journey,Bring in the thing you would most like to have with you on a car journey.
690,690,Pop 99 red balloons,"Choose a room and a weapon, then await further instructions.

Pop 99 red balloons.
You must use your weapon to pop your 99 red balloons.
Shout ""Stop it!"" when you think you've popped precisely 99 red balloons.
Fastest wins.
Your time starts now."
691,691,Get this feather into the bath,"Get this feather into the bath.
You must not touch the feather, and the feather must not touch the ground.
After the feather has left its cushion, it must not touch a single thing for more than five seconds in total.
The cushion must not leave the lab.
If you make any mistake at all, Alex will blow his whistle, and you must start all over again.
Fastest wins.
Finally, you must not say any words at any point from now on.
Your time starts now."
692,692,Hit Bernard with an exercise ball,"Make an exercise ball touch Bernard.
Bernard can't move.
You may launch an exercise ball from behind the line, and may not touch any balls after each launch.
Most balls actively involved in a successful launch wins.
Your task ends when a ball touches Bernard, or 15 minutes have elapsed.
Your time starts now."
693,693,Blow an item onto The Knappett,"Blow an item the furthest on The Knappett.
If your item falls from The Knappett, you are disqualified.
The person who blows something the least far each round is eliminated, unless someone is disqualified.
You must all select your blowers and items for each round before any blowing commences, and you must not use the same blower or item twice.
Last player standing wins."
694,694,The best fancy dress,Bring in the best fancy dress.
695,695,Communicate an instruction in a secret language,"Come up with a secret language that doesn't use words.
You have 10 minutes, after which one of you must go to the lab.
Your time starts now.

Secretly give this instruction to your team-mate.
You may not say or write any other words in the instruction.
Fastest wins.
Your time starts as soon as you walk through the door, and stops when the instruction is carried out by your team-mate.

Feed three giraffes and an elephant to the clown."
696,696,Pin an alluring tail on the alluring animal,"Pin an alluring tail on the alluring animal while blindfolded.
You have 15 minutes to find the alluring animal, make an alluring tail, put your alluring tail on the tail station, and prepare to pin your alluring tail on the alluring animal, blindfolded, starting from here.
Fastest wins."
697,697,Find the back of your hand,"Find the back of your hand.
Fewest wrong guesses wins.
You have a maximum of 20 minutes, and your time starts when Alex does a hand pun."
698,698,Guess the length of the extendible item,"Guess the fully-extended length of the extendible item.
Closest to the fully-extended length wins."
699,699,The most underestimated item,Bring in the most underestimated item.
700,700,"Snort, raspberry, whistle","Snort, then blow a raspberry, then whistle.
Then repeat that sequence for one minute.
The most completed sequences wins.
Your time starts when you next snort."
701,701,"Write a one-minute, one-person play","Write a one-minute, one-person play.
Best script wins.
You have 20 minutes.
Your time starts now."
702,702,"Perform a one-minute, one-person play","Stage and perform this one-minute, one-person play.
Best performance wins.
You have 30 minutes.
Your time starts now."
703,703,Paint a self portrait with a selected brush on a selected canvas,"Choose one item from each plinth and bring them into the lab.
You have one minute.
Your time starts now.

Paint a self-portrait using your brush - or sausage - on your other chosen object.
You must use the business end of your brush - or sausage - and, in your self-portrait, you must be wielding your brush, or sausage.
Best self-portrait wins.
You have 15 minutes.
Your time started when you entered the lab."
704,704,Get your towel in your bucket,"Tie your towel as tightly as possible around your body.
You have 30 seconds.

Place your hands on your heads and keep them there until the end of the task.
Get your towel completely in your bucket.
Fastest wins."
705,705,The thing the Taskmaster would most like to own,Bring in the thing of yours that the Taskmaster would most like to own.
706,706,Order three things for your final task,"Order three things for your final task.
You may spend up to £50.
You have five minutes.
Your time starts now."
707,707,Eat the grape,"Eat the grape.
You must not damage the caravan, or climb out of the window.
Fastest wins.
Your time starts now."
708,708,Sculpt your team,"Sculpt your team.
Best sculpture wins.
Only one person may look at the clay, and that person may not touch the clay.
You have a maximum of 15 minutes.
Your time starts when Alex blows his whistle."
709,709,"Throw an object, hide an object, and place it on the barrel","Throw one of your objects over the caravan, then completely cover one of your items with one of your other items.
Then put the covered item on the wooden barrel without touching that item with your hands.
Fastest wins.
Your time starts now."
710,710,Land a balloon near the Taskmaster,"Land a balloon nearest the Taskmaster.
You must stay on your spots at all times.
The closest balloon to the Taskmaster wins but, if you strike the Taskmaster with a balloon, you're disqualified."
711,711,The most surprising thing you own,Bring in the thing which Greg would be most surprised that you own.
712,712,Count all the dots,"Count all the dots on this card.
You may not touch or mark the card.
You must give an answer in 10 minutes, and must answer the door, and obey the instructions, every time the doorbell rings.
Most accurate final answer wins.
Your time starts now.

Wear these goggles until the doorbell rings.

Stand behind the barrier until the next doorbell rings.

Shout until the doorbell next rings.

Wear boxing gloves and an eye patch, and count like a pirate.

Feed the blackbird all of the seeds.

Put on a swimming hat and swimming goggles and giggle until the end of the task."
713,713,Recreate the picture from a massage chair,"Recreate the picture that Alex is holding.
Your face must not move from this position.
Alex will show you the picture for five seconds, when you've finished reading the task, and then for a further three seconds every time you land a ball in a bucket.
Best recreation of the picture wins.
You have 10 minutes.
Your time starts now."
714,714,Collect carp pellets in a fish bowl,"Put the most carp pellets in the fish bowl.
You must not bend at the waist or the knees at any point.
You have 15 minutes.
Your time starts now.

Beware! The rooms are boobytrapped!"
715,715,Obey Greg's instructions,"Obey Greg's instructions.
You must only obey the instructions which start with 'Greg says'.
Greg says the person who obeys Greg's instructions best wins."
716,716,The most dependable thing that weighs about 1kg,Bring in the most dependable thing that weighs about 1kg.
717,717,Have the best first wedding dance with Alex,"Have the best first dance at a wedding with Alex.
You can choose whatever music you want, but must be wearing these headphones throughout.
Your first dance must last no more than a minute.
You have 20 minutes to prepare.
Your time starts now."
718,718,Put a ball of string on the cushion,"Completely unwind this ball of string.
Your time started when you said Alex's name.

Put a neat ball of string on the cushion.
Fastest wins.
You do not have to unwind the ball of string.
Your time started when you said Alex's name."
719,719,Get all the rubber rings on your bargepole,"Get all the rubber rings on your bargepole.
You may not touch the bargepole or rubber rings at any point.
You have a maximum of half an hour.
Your time starts now."
720,720,Throw your items into your bucket,"Throw your items into your bucket.
You must select one item when Alex blows his whistle.
You must then throw that item when Alex blows his whistle again.
If your bucket falls, you're disqualified.
You must stay on your spot, and you must not move your spot.
Most items in a standing bucket wins."
721,721,The object which makes you feel weirdest when you look at it,"Bring in the object which, whenever you look at it, makes you feel the weirdest."
722,722,Compose and perform a musical solo,"Compose a solo for this musician.
The solo must be original, and less than 30 seconds long.
You have 5 minutes.
Your time starts now.

Make something that looks like this musician's musical instrument, then mime to your new solo.
You may not use a musical instrument in the creation of your musical instrument.
Best performance wins.
You have 15 minutes.
Your time starts now."
723,723,Build a bridge over the red green for this potato,"Build the highest bridge over the middle of the red green, and balance the potato on the middle of the bridge.
The potato may not be anchored in any way.
If anything touches the red green, you must put everything back where you found it, tut, and go back to the drawing board.
You have 20 minutes.
Your time starts now."
724,724,Achieve an impressive effect with a single breath,"Achieve the most impressive effect with a single breath.
You must take your breath and achieve your effect within the next 20 minutes."
725,725,Create a picture of an animal on the back of your T-shirt,"Create a recognisable picture of an animal on the back of your T-shirt using the equipment provided.
You must stay on your spot, and you must not move your spot.
If you create the same animal as someone else, you will both be disqualified.
Best recognisable picture of an animal on your back wins.
You have 200 seconds."
726,726,The most heroic thing,Bring in the most heroic thing.
727,727,Exit the caravan after exactly 20 minutes,"Exit the caravan exactly 20 minutes after you entered the caravan.
Also, to complete the task, you must write down and say 40 words.
Each word must either be the same length, or shorter, than the previous word.
Closest to exactly 20 minutes wins."
728,728,Catch the potatoes in the potato hat,"Catch the potatoes in the potato hat.
You must be sitting on the catching stool wearing your potato hat, and you must not touch anything at any point.
Anything in your hat that is not a potato will be subtracted from your potato total.
Highest potatotal wins.
The conveyor belt will start moving in three minutes from now."
729,729,Perform a slow-motion fight scene,"Choreograph the most elaborate and enthralling fight scene, then perform it in slow motion.
Your fight scene must take five minutes, and will then be sped up so that it lasts one minute.
You have a total of 30 minutes.
Your time starts now."
730,730,Know the most facts about sausages,"Know the most facts about sausages.
You have 100 seconds to learn some facts about sausages.
Best score in the sausage exam wins."
731,731,The most fun non-headwear to wear on your head,Bring in the most fun thing to wear on your head that you aren't supposed to wear on your head.
732,732,Strike the most drums with a bouncy ball,"Strike the most drum skins and cymbals with a single throw of a bouncy ball.
You have a maximum of 20 minutes.
Your time starts now."
733,733,Make the fastest egg boat,"Make the fastest egg boat.
Your egg boat must look like a boat and transport an egg.
If your egg boat sinks or loses its egg, you're disqualified.
You have three minutes to order five materials, and then 15 minutes to make your egg boat.
Also, all your materials must start with the same letter, and you can't order anything boat-y.
Your time starts now."
734,734,Task bingo,"First to complete a line or four corners wins.
The time starts when someone shouts 'bingo'.

Sit in the shed for three minutes and think about what you have done.

Throw each of your shoes onto a different roof.

Make the bingo bin go out of the main gates.

Get fully into the sleeping bag, then get out of the sleeping bag and put the sleeping bag fully into the sleeping bag bag.

Put exactly four pints of water in the pot.

Scream 'I have been in all four rooms of the house' in all four rooms of the house.

Get the banana down from the tree.

Pop all but one bubble on the bubble wrap.

Speak to John."
735,735,Pour your sand into the other bottle,"Pour your sand into the other bottle.
Slowest to pour their sand into the other bottle wins.
You must pour your sand from at least a foot above your other bottle.
If there is a break in your sand stream, you are disqualified."
736,736,The luckiest thing,Bring in the luckiest thing.
737,737,Fake something,"Fake something.
Best fake wins.
You have twenty minutes.
Ready steady go."
738,738,Musical Simon Says,"Play the instrument indicated by the light.
Each time you play an instrument correctly, another will be added to the sequence until you make a mistake.
longest sequence wins.
There is a bonus point for the person who sounds the least worst.
Your time starts when the first light goes on."
739,739,Salvage the most spoons,"Salvage the most spoons.
You may not leave the lab, and all spoons must be salvaged with a magnet.
Your salvager must not remove their headwear.
Most salvaged spoons brought to the lab wins.
Also, from now on, you must speak in a very high-pitched voice.
You have 16 minutes.
Your time starts now."
740,740,Stuff your team-mate's waders,"Stuff all these things into your team-mate's outfit.
If you're wearing a special outfit, you must stay on your spot with your hands on your head at all times.
Fastest wins.

Say how many things you stuffed in your team-mate's outfit.
If you're correct, your points are doubled.
If you're wrong, the other team gets your points."
741,741,The best thing to play about with in your bathroom,Bring in the best thing to play about with in your bathroom.
742,742,Perform a poignant domestic scene with an imaginary companion,"Invent an imaginary companion, then complete a domestic task with your imaginary companion.
Your imaginary companion must either be much taller, or much littler, than you.
Most poignant scene wins.
You have 20 minutes.
Your time starts now."
743,743,Efficiently shell an egg,"Efficiently shell an egg.
You may not touch any part of any egg with your hands, and you may only break the shell of one of the eggs.
Fewest pieces of egg-less shell wins.
You have a maximum of 10 minutes.
Your time starts now."
744,744,Bash the big bell with the bowling ball,"Bash the big bell with the bowling ball.
Fastest gets five points.
Slowest gets four points.
Nobody else gets any points.
You are to stay off the grass unless you're wearing gold shoes.
If anything other than the bowling ball or gold shoes touches the grass, you are disqualified.
You have a maximum of 20 minutes.
Your time starts now.

Alex will give you his shoes if you do one of the following:
deposit £100 in his bank account
give him a perfect dippy boiled egg with buttered soldiers and a glass of milk
physically remove them"
745,745,Story-time chairs,"Walk around the chairs, listening to Greg's story, then sit on a chair when you hear a word containing two letter 'L's.
If you stop walking, or touch a chair incorrectly, you are disqualified.
If you fail to sit on a chair when you hear a word containing two letter 'L's, you are disqualified.
Best listener wins."
746,746,The most brilliant thing that pops up,Bring in the most brilliant thing that pops up.
747,747,Rotate the pulper wheel without pulping the egg,"Rotate the pulper wheel without pulping the egg.
You must not move from this spot at any point.
If you pulp the egg, you are disqualified.
Most rotations wins.
You have a maximum of 10 minutes.
Your time starts now."
748,748,Free yourselves and have a team hug,"Completely free yourselves and have a team hug.
Fastest team hug wins.
Your time starts now."
749,749,Set the parameters for your own task,"Write down a number between zero and 100, a length of time between one minute and 20 minutes, five ingredients, a country, a noun, and an adjective.
You have three minutes.
Your time starts now.

Make a large Scottish dog / feisty French duck / gold German shoe / cowering Kenyan bench / splendid Guatemalan duck.
You must use all these ingredients, and you must also clap 50 / 42 / 75 / 7 / 80 times.
You have two minutes / four minutes and 20 seconds / 15 minutes / one minute and 21 seconds / 19 minutes.
Most accurate creation wins.
Your time starts now."
750,750,Imitate accents/walks,"Say the word given to you by the Taskmaster in the accent on the card you choose.
The Taskmaster will guess what accent you're doing.
Highest score after three rounds wins."
751,751,"The thing you take everywhere with you, but struggle to fit in your bag","Bring in the best thing you take everywhere with you, but struggle to fit in your bag."
752,752,Pile the pineapples on the path,"Pile the pineapples on the path.
You must not get wet.
Most pineapples piled on the path wins.
You have 15 minutes.
Your time starts now."
753,753,Repurpose an umbrella,"Repurpose this umbrella and demonstrate its new purpose.
Most inventive repurposing of an umbrella wins.
You have 20 minutes.
Your time starts now."
754,754,Put the most stuff on top of a jelly,"Put the most stuff on top of this jelly, without breaking the jelly.
If anything other than jelly touches the duck, you are disqualified.
Heaviest stuff on the jelly exactly 10 minutes from now wins."
755,755,Use the scratching post to remove balls from your suit,"Using only the scratching posts, remove as many balls from your suit as possible.
Your team-mates may throw balls from the throwing spots throughout.
The throwing spots may not be moved.
Fewest balls on a suit after two minutes wins.
Also, if you're in a team of three, the two non-suit-wearers must hold hands throughout the two minutes."
756,756,The sneakiest thing,Bring in the sneakiest thing.
757,757,Make these things the same colour,"Make these things the same colour as those things.
People and bottles must stay on their spots at all times.
You may perform 10 bottle stamps, and two bottle squeezes.
Best colour matches wins.
You have 10 minutes.
Your time starts now."
758,758,Deliver a one-minute history lecture,"Put three single-digit numbers in the slots, then open the second task.

Deliver a one-minute lecture about the year you selected.
Your lecture must start in 15 minutes from now.
Most informative lecture wins.
You may not leave the lab."
759,759,Make exactly 99 holes in the piece of paper,"Make exactly 99 holes in this piece of paper.
Your holes must have a diameter of at least three millimetres, and form a recognisable picture or pattern.
If you make more or fewer than 99 holes, you are disqualified.
Also, if you look at Alex or speak to Alex at any point, you are disqualified.
Fastest wins.
Your time starts now."
760,760,Estimate the heights of things,"Combine two of your things to equal the height of the thing said by Greg.
You may not use any of your things twice.
Worst guess each round is eliminated."
761,761,The best Greg Davies merchandise,Bring in the best Greg Davies merchandise that isn't on the market but should be on the market.
762,762,Fill the glass up to the line,"Fill the glass up to the line from the furthest distance.
If you use a hose and someone else uses a hose, both hose users are disqualified.
Furthest distance between contestant and pint glass while filling wins.
You have a maximum of 20 minutes.
Your time starts now."
763,763,Do what Alex does,"Do what Alex does, immediately after Alex does it, in exactly the same time as Alex does it.
You must press your button when you're satisfied you have done what Alex has done.
If you do not complete an activity, ten seconds will be added to your time.
Closest to the same total time wins.
The time starts when Alex presses his button."
764,764,Perform a lullaby for a profession,"Write the name of a profession in this hole then open the task.

Perform an original lullaby for [your profession].
Most soporific profession-specific lullaby wins.
You have 30 minutes.
Your time starts now."
765,765,"Standing in ice, or not standing in ice?","Convince the Taskmaster that your feet are not in ice when they are in ice, or that your feet aren't in ice when they are in ice.
You must keep your feet either in ice, or not in ice, for 30 seconds before the Taskmaster makes his judgment.
If the Taskmaster is correct, you are disqualified.
Last player standing wins."
766,766,Scream with your mouth closed,Scream the loudest with your mouth closed.
767,767,The most wonderful wooden thing you’ve owned for a while,Bring in the most wonderful wooden thing you’ve owned for a while.
768,768,Build a tower of cans in the lab,"Build a tower out of the cans in the lab.
You must put on your blindfold in this room and wear it properly for the rest of the task.
Tallest tower wins.
You have 5 minutes.
Your time starts now."
769,769,Cross the finish line while connected to your team,"Connect the most individual parts of one person to individual parts of another person.
All members of your team must be connected.
You have 10 minutes.
Your time starts now.

You are now ready for the actual task.
Cross the finish line with all connections still connected.
Fastest wins.
Your time starts when Alex blows his whistle."
770,770,Get the duck into the lake,"Get the duck into the lake.
You must not touch the beak.
If the duck leaves the course, it must re-enter at the point it left the course.
If your duck touches the boundary, or a flamingo, or a pineapple, one minute will be added to your time.
Fastest wins.
Your time starts now."
771,771,Heavier or lighter?,"Say whether you think the next item is heavier or lighter than the previous item.
If you are wrong, you are eliminated.
Last person standing wins."
772,772,The best sign,Bring in the best sign.
773,773,Pull the sword from the stone,"Pull the sword from the stone.
You may not force the sword or break the stone.
The champion is the one who releases the sword fastest.
Your time starts noW."
774,774,Make a cheeky picture using nails and wire,"Make a cheeky picture on this piece of wood using nails and one continuous piece of wire.
Also, if any egg timers stop, you must stare at the camera shaking your head for 10 seconds.
The best cheeky picture wins.
You have 20 minutes.
Your time starts now."
775,775,Make mischief,"Make mischief.
Most mischievous wins.
You have a maximum of half an hour.
Your time starts now."
776,776,Draw something you like and something you dislike,"Write down one thing you like, and one thing you don’t like.
You have 30 seconds.

Draw your two things at the same time.
You must be drawing with both hands and stare at the Taskmaster throughout.
Best pair of pictures wins."
777,777,Recite pi,Memorise pi to as many decimal places as possible in two minutes.
778,778,The present that raises the most questions,Bring in the present you've been given that raises the most questions.
779,779,Get the ball in the hole without touching it,"Get the ball in the hole.
Nothing may touch the ball.
After you touch one tool, you may not touch another tool for one minute.
If you decide to touch the welly, you must only do so with your foot.
Fastest wins.
Your time starts now."
780,780,Get underneath the most unique things,"Get underneath the most unique things.
Alex will write down your things when you shout ""I'm underneath it!"".
If you get underneath something that someone else gets underneath, you both lose five things from your total.
You have 10 minutes.
Your time starts now."
781,781,Choose a new nickname,"Choose a new nickname based on something you do in the next 20 minutes.
Best nickname wins.
Your time started when you smiled."
782,782,Human war boats,"One member of your team must lie on three of the squares and go to sleep.
After they have taken their position, they must not move until the task is over.
Taking it in turn, the other team members must try to land their cushion in each of the three sleep squares.
First team to strike out the sleeper wins."
783,783,The best thing for a grown-up that is meant for a child,Bring in the best thing for a grown-up that is meant for a child.
