id,task,task_label,contestant,contestant_label,PO,base,adjustment,points,rank,episode,series,team,team_label,location,location_label
942,201,The best thing,32,Rob Beckett,1,5,,5,1,5,24,,,,
943,202,Find out what’s in the briefcase,28,Bob Mortimer,1=,2,,2,4,5,16,,,,
944,202,Find out what’s in the briefcase,29,Josh Widdicombe,3,4,,4,2,7,26,,,,
945,202,Find out what’s in the briefcase,30,Katherine Ryan,1=,1,,1,5,2,22,,,,
946,202,Find out what’s in the briefcase,31,Noel Fielding,5,5,,5,1,9,25,,,,
947,202,Find out what’s in the briefcase,32,Rob Beckett,4,3,,3,3,8,27,,,,
948,203,Make a delicious mask,28,Bob Mortimer,5,5,,5,1,10,21,,,,
949,203,Make a delicious mask,29,Josh Widdicombe,2,4,,4,2,11,30,,,,
950,203,Make a delicious mask,30,Katherine Ryan,1,3,,3,3,5,25,,,,
951,203,Make a delicious mask,31,Noel Fielding,3=,2,,2,4=,11,27,,,,
952,203,Make a delicious mask,32,Rob Beckett,3=,2,,2,4=,10,29,,,,
953,204,Make a mess and then clean it up,28,Bob Mortimer,3=,1,,1,5,11,22,,,,
954,204,Make a mess and then clean it up,29,Josh Widdicombe,3=,3,,3,4,14,33,,,,
955,204,Make a mess and then clean it up,30,Katherine Ryan,5,5,,5,1,10,30,,,,
956,204,Make a mess and then clean it up,31,Noel Fielding,1=,4,,4,2=,15,31,,,,
957,204,Make a mess and then clean it up,32,Rob Beckett,1=,4,,4,2=,14,33,,,,
958,205,Record the most steps on your pedometers,28,Bob Mortimer,0,2,,2,4,13,24,,,,
959,205,Record the most steps on your pedometers,29,Josh Widdicombe,0,4,,4,2,18,37,,,,
960,205,Record the most steps on your pedometers,30,Katherine Ryan,0,5,,5,1,15,35,,,,
961,205,Record the most steps on your pedometers,31,Noel Fielding,0,1,,1,5,16,32,,,,
962,205,Record the most steps on your pedometers,32,Rob Beckett,0,3,,3,3,17,36,,,,
963,206,The best liquid,33,Alice Levine,1,4,,4,2,4,4,,,,
964,206,The best liquid,34,Asim Chaudhry,2,1,,1,4=,1,1,,,,
965,206,The best liquid,35,Liza Tarbuck,3,3,,3,3,3,3,,,,
966,206,The best liquid,36,Russell Howard,4,1,,1,4=,1,1,,,,
967,206,The best liquid,37,Tim Vine,5,5,,5,1,5,5,,,,
968,207,Perform the best wheelbarrow stunt,33,Alice Levine,2,5,,5,1,9,9,,,,
969,207,Perform the best wheelbarrow stunt,34,Asim Chaudhry,1,1,,1,5,2,2,,,,
970,207,Perform the best wheelbarrow stunt,35,Liza Tarbuck,3,3,,3,3,6,6,,,,
971,207,Perform the best wheelbarrow stunt,36,Russell Howard,4,4,,4,2,5,5,,,,
972,207,Perform the best wheelbarrow stunt,37,Tim Vine,5,2,,2,4,7,7,,,,
973,208,Make the tallest lemon tower,33,Alice Levine,5,4,,4,2,13,13,,,,
974,208,Make the tallest lemon tower,34,Asim Chaudhry,1=,1,,1,5,3,3,,,,
975,208,Make the tallest lemon tower,35,Liza Tarbuck,3=,3,,3,3,9,9,,,,
976,208,Make the tallest lemon tower,36,Russell Howard,1=,5,,5,1,10,10,,,,
977,208,Make the tallest lemon tower,37,Tim Vine,3=,2,,2,4,9,9,,,,
978,209,Return to the house wearing a hat,33,Alice Levine,4=,5,,5,1,18,18,,,,
979,209,Return to the house wearing a hat,34,Asim Chaudhry,2=,1,,1,5,4,4,,,,
980,209,Return to the house wearing a hat,35,Liza Tarbuck,1,3,,3,3,12,12,,,,
981,209,Return to the house wearing a hat,36,Russell Howard,4=,4,,4,2,14,14,,,,
982,209,Return to the house wearing a hat,37,Tim Vine,2=,2,,2,4,11,11,,,,
983,210,Sort the objects by size using your feet,33,Alice Levine,0,,,0,,18,18,,,,
984,210,Sort the objects by size using your feet,34,Asim Chaudhry,0,4,,4,2=,8,8,,,,
985,210,Sort the objects by size using your feet,35,Liza Tarbuck,0,5,,5,1,17,17,,,,
986,210,Sort the objects by size using your feet,36,Russell Howard,0,4,,4,2=,18,18,,,,
987,210,Sort the objects by size using your feet,37,Tim Vine,0,,,0,,11,11,,,,
988,211,Spin around and kick a football at the caravan,33,Alice Levine,1=,0,,0,,18,18,,,,
989,211,Spin around and kick a football at the caravan,36,Russell Howard,1=,0,,0,,18,18,,,,
990,212,The best non-living hairy thing,33,Alice Levine,3,2,,2,3=,2,20,,,,
991,212,The best non-living hairy thing,34,Asim Chaudhry,2,1,,1,5,1,9,,,,
992,212,The best non-living hairy thing,35,Liza Tarbuck,1,4,,4,2,4,21,,,,
993,212,The best non-living hairy thing,36,Russell Howard,4,2,,2,3=,2,20,,,,
994,212,The best non-living hairy thing,37,Tim Vine,5,5,,5,1,5,16,,,,
995,213,Get the highest darts score,33,Alice Levine,5,2,,2,4,4,22,,,,
996,213,Get the highest darts score,34,Asim Chaudhry,1=,3,,3,3,4,12,,,,
997,213,Get the highest darts score,35,Liza Tarbuck,1=,5,,5,1,9,26,,,,
998,213,Get the highest darts score,36,Russell Howard,3=,1,,1,5,3,21,,,,
999,213,Get the highest darts score,37,Tim Vine,3=,4,,4,2,9,20,,,,
1000,214,Keep Alex dry,33,Alice Levine,2=,4,,4,1=,8,26,11,Alice and Russell,,
1001,214,Keep Alex dry,34,Asim Chaudhry,1=,1,,1,2=,5,13,12,"Asim, Liza and Tim",,
1002,214,Keep Alex dry,35,Liza Tarbuck,1=,1,,1,2=,10,27,12,"Asim, Liza and Tim",,
1003,214,Keep Alex dry,36,Russell Howard,2=,4,,4,1=,7,25,11,Alice and Russell,,
1004,214,Keep Alex dry,37,Tim Vine,1=,1,,1,2=,10,21,12,"Asim, Liza and Tim",,
1005,215,Take a picture of people holding eggs,33,Alice Levine,3,2,,2,4,10,28,,,,
1006,215,Take a picture of people holding eggs,34,Asim Chaudhry,2,3,,3,3,8,16,,,,
1007,215,Take a picture of people holding eggs,35,Liza Tarbuck,1,5,,5,1,15,32,,,,
1008,215,Take a picture of people holding eggs,36,Russell Howard,4,4,,4,2,11,29,,,,
1009,215,Take a picture of people holding eggs,37,Tim Vine,5,1,,1,5,11,22,,,,
1010,216,Take the wind-up man on an adventure,33,Alice Levine,4,3,,3,3=,13,31,,,,
1011,216,Take the wind-up man on an adventure,34,Asim Chaudhry,5,5,,5,1,13,21,,,,
1012,216,Take the wind-up man on an adventure,35,Liza Tarbuck,1,4,,4,2,19,36,,,,
1013,216,Take the wind-up man on an adventure,36,Russell Howard,2,3,,3,3=,14,32,,,,
1014,216,Take the wind-up man on an adventure,37,Tim Vine,3,3,,3,3=,14,25,,,,
1015,217,Conceal grapes in your mouth or hand,33,Alice Levine,4,0,,0,,13,31,,,,
1016,217,Conceal grapes in your mouth or hand,34,Asim Chaudhry,5,0,,0,,13,21,,,,
1017,217,Conceal grapes in your mouth or hand,35,Liza Tarbuck,1,0,,0,,19,36,,,,
1018,217,Conceal grapes in your mouth or hand,36,Russell Howard,2,,,0,,14,32,,,,
1019,217,Conceal grapes in your mouth or hand,37,Tim Vine,3,0,,0,,14,25,,,,
1020,218,The most magnificent day trip,33,Alice Levine,4,1,,1,5,1,32,,,,
1021,218,The most magnificent day trip,34,Asim Chaudhry,3,2,,2,4,2,23,,,,
1022,218,The most magnificent day trip,35,Liza Tarbuck,2,4,,4,2,4,40,,,,
1023,218,The most magnificent day trip,36,Russell Howard,1,3,,3,3,3,35,,,,
1024,218,The most magnificent day trip,37,Tim Vine,5,5,,5,1,5,30,,,,
1025,219,Write a grown-up bedtime story,33,Alice Levine,1,1,,1,5,2,33,,,,
1026,219,Write a grown-up bedtime story,34,Asim Chaudhry,3,3,,3,2=,5,26,,,,
1027,219,Write a grown-up bedtime story,35,Liza Tarbuck,2,5,,5,1,9,45,,,,
1028,219,Write a grown-up bedtime story,36,Russell Howard,5,3,,3,2=,6,38,,,,
1029,219,Write a grown-up bedtime story,37,Tim Vine,4,2,,2,4,7,32,,,,
1030,220,Make something spin for the longest,33,Alice Levine,1=,1,,1,5,3,34,,,,
1031,220,Make something spin for the longest,34,Asim Chaudhry,3=,4,,4,2,9,30,,,,
1032,220,Make something spin for the longest,35,Liza Tarbuck,3=,5,,5,1,14,50,,,,
1033,220,Make something spin for the longest,36,Russell Howard,5,2,,2,4,8,40,,,,
1034,220,Make something spin for the longest,37,Tim Vine,1=,3,,3,3,10,35,,,,
1035,221,Identify the baby food flavours,33,Alice Levine,1,2,,2,4,5,36,,,,
1036,221,Identify the baby food flavours,34,Asim Chaudhry,4=,5,1,6,1,15,36,,,,
1037,221,Identify the baby food flavours,35,Liza Tarbuck,4=,4,,4,2,18,54,,,,
1038,221,Identify the baby food flavours,36,Russell Howard,2=,3,,3,3,11,43,,,,
1039,221,Identify the baby food flavours,37,Tim Vine,2=,1,,1,5,11,36,,,,
1040,222,Catch the most socks,33,Alice Levine,0,1,,1,5,6,37,,,,
1041,222,Catch the most socks,34,Asim Chaudhry,0,4,,4,2=,19,40,,,,
1042,222,Catch the most socks,35,Liza Tarbuck,0,4,,4,2=,22,58,,,,
1043,222,Catch the most socks,36,Russell Howard,0,5,,5,1,16,48,,,,
1044,222,Catch the most socks,37,Tim Vine,0,4,,4,2=,15,40,,,,
1045,223,The most thought-provoking thing,33,Alice Levine,4,3,,3,3,3,40,,,,
1046,223,The most thought-provoking thing,34,Asim Chaudhry,1,1,,1,5,1,41,,,,
1047,223,The most thought-provoking thing,35,Liza Tarbuck,3,2,,2,4,2,60,,,,
1048,223,The most thought-provoking thing,36,Russell Howard,5,5,,5,1,5,53,,,,
1049,223,The most thought-provoking thing,37,Tim Vine,2,4,,4,2,4,44,,,,
1050,224,Do something manly with a cardboard box,33,Alice Levine,2=,4,,4,2=,7,44,,,,
1051,224,Do something manly with a cardboard box,34,Asim Chaudhry,2=,4,,4,2=,5,45,,,,
1052,224,Do something manly with a cardboard box,35,Liza Tarbuck,4=,5,,5,1,7,65,,,,
1053,224,Do something manly with a cardboard box,36,Russell Howard,4=,4,,4,2=,9,57,,,,
1054,224,Do something manly with a cardboard box,37,Tim Vine,1,4,,4,2=,8,48,,,,
1055,225,Have the most fun in 3 minutes,33,Alice Levine,1=,2,,2,2=,9,46,11,Alice and Russell,,
1056,225,Have the most fun in 3 minutes,34,Asim Chaudhry,2=,3,,3,1=,8,48,12,"Asim, Liza and Tim",,
1057,225,Have the most fun in 3 minutes,35,Liza Tarbuck,2=,3,,3,1=,10,68,12,"Asim, Liza and Tim",,
1058,225,Have the most fun in 3 minutes,36,Russell Howard,1=,2,,2,2=,11,59,11,Alice and Russell,,
1059,225,Have the most fun in 3 minutes,37,Tim Vine,2=,3,,3,1=,11,51,12,"Asim, Liza and Tim",,
1060,226,Exactly recreate your 3 minutes of fun,33,Alice Levine,1=,5,,5,1=,14,51,11,Alice and Russell,,
1061,226,Exactly recreate your 3 minutes of fun,34,Asim Chaudhry,2=,5,,5,1=,13,53,12,"Asim, Liza and Tim",,
1062,226,Exactly recreate your 3 minutes of fun,35,Liza Tarbuck,2=,5,,5,1=,15,73,12,"Asim, Liza and Tim",,
1063,226,Exactly recreate your 3 minutes of fun,36,Russell Howard,1=,5,,5,1=,16,64,11,Alice and Russell,,
1064,226,Exactly recreate your 3 minutes of fun,37,Tim Vine,2=,5,,5,1=,16,56,12,"Asim, Liza and Tim",,
1065,227,Make the best squirty cream art,33,Alice Levine,1=,4,,4,2,18,55,,,,
1066,227,Make the best squirty cream art,34,Asim Chaudhry,1=,1,,1,5,14,54,,,,
1067,227,Make the best squirty cream art,35,Liza Tarbuck,1=,5,,5,1,20,78,,,,
1068,227,Make the best squirty cream art,36,Russell Howard,1=,3,,3,3,19,67,,,,
1069,227,Make the best squirty cream art,37,Tim Vine,1=,2,,2,4,18,58,,,,
1070,228,Remove the banknote from under the glass,33,Alice Levine,1=,,,0,,18,55,,,,
1071,228,Remove the banknote from under the glass,34,Asim Chaudhry,3=,4,,4,2,18,58,,,,
1072,228,Remove the banknote from under the glass,35,Liza Tarbuck,5,,,0,,20,78,,,,
1073,228,Remove the banknote from under the glass,36,Russell Howard,1=,5,,5,1,24,72,,,,
1074,228,Remove the banknote from under the glass,37,Tim Vine,3=,3,,3,3,21,61,,,,
1075,229,Shake hands with the Taskmaster without revealing your identity,33,Alice Levine,2,5,,5,1,23,60,,,,
1076,229,Shake hands with the Taskmaster without revealing your identity,34,Asim Chaudhry,1,0,,0,,18,58,,,,
1077,229,Shake hands with the Taskmaster without revealing your identity,35,Liza Tarbuck,4,0,,0,,20,78,,,,
1078,229,Shake hands with the Taskmaster without revealing your identity,36,Russell Howard,5,0,,0,,24,72,,,,
1079,229,Shake hands with the Taskmaster without revealing your identity,37,Tim Vine,3,0,,0,,21,61,,,,
1080,230,The sturdiest thing,33,Alice Levine,4,4,,4,2,4,64,,,,
1081,230,The sturdiest thing,34,Asim Chaudhry,2,1,,1,5,1,59,,,,
1082,230,The sturdiest thing,35,Liza Tarbuck,3,5,,5,1,5,83,,,,
1083,230,The sturdiest thing,36,Russell Howard,5,3,,3,3,3,75,,,,
1084,230,The sturdiest thing,37,Tim Vine,1,2,,2,4,2,63,,,,
1085,231,Work out the length of a piece of string,33,Alice Levine,3=,2,,2,4,6,66,,,,
1086,231,Work out the length of a piece of string,34,Asim Chaudhry,1=,4,,4,2,5,63,,,,
1087,231,Work out the length of a piece of string,35,Liza Tarbuck,3=,1,,1,5,6,84,,,,
1088,231,Work out the length of a piece of string,36,Russell Howard,1=,3,,3,3,6,78,,,,
1089,231,Work out the length of a piece of string,37,Tim Vine,5,5,,5,1,7,68,,,,
1090,232,Remove the tablecloth from underneath the eggs,33,Alice Levine,3,5,,5,1=,11,71,,,,
1091,232,Remove the tablecloth from underneath the eggs,34,Asim Chaudhry,2,5,,5,1=,10,68,,,,
1092,232,Remove the tablecloth from underneath the eggs,35,Liza Tarbuck,5,5,,5,1=,11,89,,,,
1093,232,Remove the tablecloth from underneath the eggs,36,Russell Howard,1,5,,5,1=,11,83,,,,
1094,232,Remove the tablecloth from underneath the eggs,37,Tim Vine,4,5,,5,1=,12,73,,,,
1095,233,Identify the link and do it 100 times,33,Alice Levine,1=,3,,3,2=,14,74,11,Alice and Russell,,
1096,233,Identify the link and do it 100 times,34,Asim Chaudhry,2=,5,,5,1=,15,73,12,"Asim, Liza and Tim",,
1097,233,Identify the link and do it 100 times,35,Liza Tarbuck,2=,5,,5,1=,16,94,12,"Asim, Liza and Tim",,
1098,233,Identify the link and do it 100 times,36,Russell Howard,1=,3,,3,2=,14,86,11,Alice and Russell,,
1099,233,Identify the link and do it 100 times,37,Tim Vine,2=,5,,5,1=,17,78,12,"Asim, Liza and Tim",,
1100,234,Pull off an elaborate snooker trick shot,33,Alice Levine,1,1,,1,5,15,75,,,,
1101,234,Pull off an elaborate snooker trick shot,34,Asim Chaudhry,4=,2,,2,4,17,75,,,,
1102,234,Pull off an elaborate snooker trick shot,35,Liza Tarbuck,3,4,,4,2,20,98,,,,
1103,234,Pull off an elaborate snooker trick shot,36,Russell Howard,2,3,,3,3,17,89,,,,
1104,234,Pull off an elaborate snooker trick shot,37,Tim Vine,4=,5,,5,1,22,83,,,,
1105,235,Throw eggs onto a shelf,33,Alice Levine,0,1,,1,5,16,76,,,,
1106,235,Throw eggs onto a shelf,34,Asim Chaudhry,0,2,,2,4,19,77,,,,
1107,235,Throw eggs onto a shelf,35,Liza Tarbuck,0,5,,5,1,25,103,,,,
1108,235,Throw eggs onto a shelf,36,Russell Howard,0,4,,4,2=,21,93,,,,
1109,235,Throw eggs onto a shelf,37,Tim Vine,0,4,,4,2=,26,87,,,,
1110,236,The best invention,33,Alice Levine,5,1,,1,3=,1,77,,,,
1111,236,The best invention,34,Asim Chaudhry,2,1,,1,3=,1,78,,,,
1112,236,The best invention,35,Liza Tarbuck,4,3,,3,2,3,106,,,,
1113,236,The best invention,36,Russell Howard,1,1,,1,3=,1,94,,,,
1114,236,The best invention,37,Tim Vine,3,5,,5,1,5,92,,,,
1115,237,Make the best snow globe,33,Alice Levine,3=,3,,3,3=,4,80,,,,
1116,237,Make the best snow globe,34,Asim Chaudhry,3=,1,,1,5,2,79,,,,
1117,237,Make the best snow globe,35,Liza Tarbuck,1=,4,,4,2,7,110,,,,
1118,237,Make the best snow globe,36,Russell Howard,5,5,,5,1,6,99,,,,
1119,237,Make the best snow globe,37,Tim Vine,1=,3,,3,3=,8,95,,,,
1120,238,Knock over the ducks without leaving the carpet,33,Alice Levine,2=,,,0,,4,80,11,Alice and Russell,,
1121,238,Knock over the ducks without leaving the carpet,34,Asim Chaudhry,1=,5,,5,1=,7,84,12,"Asim, Liza and Tim",,
1122,238,Knock over the ducks without leaving the carpet,35,Liza Tarbuck,1=,5,,5,1=,12,115,12,"Asim, Liza and Tim",,
1123,238,Knock over the ducks without leaving the carpet,36,Russell Howard,2=,,,0,,6,99,11,Alice and Russell,,
1124,238,Knock over the ducks without leaving the carpet,37,Tim Vine,1=,5,,5,1=,13,100,12,"Asim, Liza and Tim",,
1125,239,Make the best announcement,33,Alice Levine,1,2,,2,3=,6,82,,,,
1126,239,Make the best announcement,34,Asim Chaudhry,4,5,,5,1,12,89,,,,
1127,239,Make the best announcement,35,Liza Tarbuck,3,2,,2,3=,14,117,,,,
1128,239,Make the best announcement,36,Russell Howard,5,1,,1,5,7,100,,,,
1129,239,Make the best announcement,37,Tim Vine,2,4,,4,2,17,104,,,,
1130,240,Make a parachute for a wooden spoon,33,Alice Levine,2=,4,,4,2,10,86,,,,
1131,240,Make a parachute for a wooden spoon,34,Asim Chaudhry,2=,1,,1,5,13,90,,,,
1132,240,Make a parachute for a wooden spoon,35,Liza Tarbuck,4=,5,,5,1,19,122,,,,
1133,240,Make a parachute for a wooden spoon,36,Russell Howard,4=,2,,2,4,9,102,,,,
1134,240,Make a parachute for a wooden spoon,37,Tim Vine,1,3,,3,3,20,107,,,,
1135,241,Predict how many words you can list for a category,33,Alice Levine,5,5,,5,1,15,91,,,,
1136,241,Predict how many words you can list for a category,34,Asim Chaudhry,3,4,,4,2,17,94,,,,
1137,241,Predict how many words you can list for a category,35,Liza Tarbuck,4,1,,1,5,20,123,,,,
1138,241,Predict how many words you can list for a category,36,Russell Howard,2,3,,3,3=,12,105,,,,
1139,241,Predict how many words you can list for a category,37,Tim Vine,1,3,,3,3=,23,110,,,,
1140,242,The scariest thing from the kitchen,33,Alice Levine,1,2,,2,4,2,93,,,,
1141,242,The scariest thing from the kitchen,34,Asim Chaudhry,2,4,,4,2,4,98,,,,
1142,242,The scariest thing from the kitchen,35,Liza Tarbuck,5,3,,3,3,3,126,,,,
1143,242,The scariest thing from the kitchen,36,Russell Howard,3,5,,5,1,5,110,,,,
1144,242,The scariest thing from the kitchen,37,Tim Vine,4,1,,1,5,1,111,,,,
1145,243,Knock the bails off the stumps,33,Alice Levine,1=,0,,0,,2,93,,,,
1146,243,Knock the bails off the stumps,34,Asim Chaudhry,1=,0,,0,,4,98,,,,
1147,243,Knock the bails off the stumps,35,Liza Tarbuck,4,,,0,,3,126,,,,
1148,243,Knock the bails off the stumps,36,Russell Howard,5,5,,5,1,10,115,,,,
1149,243,Knock the bails off the stumps,37,Tim Vine,3,4,,4,2,5,115,,,,
1150,244,Draw the contents of the box,33,Alice Levine,2,4,,4,2,6,97,,,,
1151,244,Draw the contents of the box,34,Asim Chaudhry,3,1,,1,4=,5,99,,,,
1152,244,Draw the contents of the box,35,Liza Tarbuck,1,5,,5,1,8,131,,,,
1153,244,Draw the contents of the box,36,Russell Howard,5,1,1,2,4=,12,117,,,,
1154,244,Draw the contents of the box,37,Tim Vine,4,3,1,4,3,9,119,,,,
1155,245,List and then mime obscure animals,33,Alice Levine,1=,3,,3,1=,9,100,11,Alice and Russell,,
1156,245,List and then mime obscure animals,34,Asim Chaudhry,2=,2,,2,2=,7,101,12,"Asim, Liza and Tim",,
1157,245,List and then mime obscure animals,35,Liza Tarbuck,2=,2,,2,2=,10,133,12,"Asim, Liza and Tim",,
1158,245,List and then mime obscure animals,36,Russell Howard,1=,3,,3,1=,15,120,11,Alice and Russell,,
1159,245,List and then mime obscure animals,37,Tim Vine,2=,2,,2,2=,11,121,12,"Asim, Liza and Tim",,
1160,246,Make and eat a pancake with objects tucked into your sweatband,33,Alice Levine,1=,2,,2,5,11,102,,,,
1161,246,Make and eat a pancake with objects tucked into your sweatband,34,Asim Chaudhry,1=,3,,3,4,10,104,,,,
1162,246,Make and eat a pancake with objects tucked into your sweatband,35,Liza Tarbuck,1=,5,,5,1=,15,138,,,,
1163,246,Make and eat a pancake with objects tucked into your sweatband,36,Russell Howard,4=,5,,5,1=,20,125,,,,
1164,246,Make and eat a pancake with objects tucked into your sweatband,37,Tim Vine,4=,5,,5,1=,16,126,,,,
1165,247,Roll eggs to the centre of the target,33,Alice Levine,4,3,,3,3,14,105,,,,
1166,247,Roll eggs to the centre of the target,34,Asim Chaudhry,5,5,,5,1,15,109,,,,
1167,247,Roll eggs to the centre of the target,35,Liza Tarbuck,3,2,,2,4,17,140,,,,
1168,247,Roll eggs to the centre of the target,36,Russell Howard,1,1,,1,5,21,126,,,,
1169,247,Roll eggs to the centre of the target,37,Tim Vine,2,4,,4,2,20,130,,,,
1170,248,The most interesting footwear,33,Alice Levine,2,1,,1,5,1,106,,,,
1171,248,The most interesting footwear,34,Asim Chaudhry,1,5,,5,1,5,114,,,,
1172,248,The most interesting footwear,35,Liza Tarbuck,4,3,,3,3,3,143,,,,
1173,248,The most interesting footwear,36,Russell Howard,5,2,,2,4,2,128,,,,
1174,248,The most interesting footwear,37,Tim Vine,3,4,,4,2,4,134,,,,
1175,249,Put something surprising inside a chocolate egg,33,Alice Levine,1,5,,5,1,6,111,,,,
1176,249,Put something surprising inside a chocolate egg,34,Asim Chaudhry,2=,3,,3,3=,8,117,,,,
1177,249,Put something surprising inside a chocolate egg,35,Liza Tarbuck,5,3,,3,3=,6,146,,,,
1178,249,Put something surprising inside a chocolate egg,36,Russell Howard,4,3,,3,3=,5,131,,,,
1179,249,Put something surprising inside a chocolate egg,37,Tim Vine,2=,4,,4,2,8,138,,,,
1180,250,Find out what you have in common with a stranger,33,Alice Levine,3=,2,,2,4=,8,113,,,,
1181,250,Find out what you have in common with a stranger,34,Asim Chaudhry,5,5,,5,1,13,122,,,,
1182,250,Find out what you have in common with a stranger,35,Liza Tarbuck,1=,3,,3,3,9,149,,,,
1183,250,Find out what you have in common with a stranger,36,Russell Howard,3=,4,,4,2,9,135,,,,
1184,250,Find out what you have in common with a stranger,37,Tim Vine,1=,2,,2,4=,10,140,,,,
1185,251,Make a join-the-dots image using stiletto heels,33,Alice Levine,2,2,,2,4,10,115,,,,
1186,251,Make a join-the-dots image using stiletto heels,34,Asim Chaudhry,1,1,,1,5,14,123,,,,
1187,251,Make a join-the-dots image using stiletto heels,35,Liza Tarbuck,5,4,,4,2,13,153,,,,
1188,251,Make a join-the-dots image using stiletto heels,36,Russell Howard,3,3,,3,3,12,138,,,,
1189,251,Make a join-the-dots image using stiletto heels,37,Tim Vine,4,5,,5,1,15,145,,,,
1190,252,Stick plasters to the correct body parts,33,Alice Levine,0,3,,3,3,13,118,,,,
1191,252,Stick plasters to the correct body parts,34,Asim Chaudhry,0,2,,2,4,16,125,,,,
1192,252,Stick plasters to the correct body parts,35,Liza Tarbuck,0,4,,4,2,17,157,,,,
1193,252,Stick plasters to the correct body parts,36,Russell Howard,0,5,,5,1,17,143,,,,
1194,252,Stick plasters to the correct body parts,37,Tim Vine,0,1,,1,5,16,146,,,,
1195,253,Quickly receive a text message,35,Liza Tarbuck,1=,0,,0,,17,157,,,,
1196,253,Quickly receive a text message,36,Russell Howard,1=,0,,0,,17,143,,,,
1197,254,The most pleasing cat-sized thing,33,Alice Levine,4,3,,3,3,3,121,,,,
1198,254,The most pleasing cat-sized thing,34,Asim Chaudhry,3,2,,2,4,2,127,,,,
1199,254,The most pleasing cat-sized thing,35,Liza Tarbuck,5,1,,1,5,1,158,,,,
1200,254,The most pleasing cat-sized thing,36,Russell Howard,2,4,,4,2,4,147,,,,
1201,254,The most pleasing cat-sized thing,37,Tim Vine,1,5,,5,1,5,151,,,,
1202,255,Make the biggest bubble and burst it with your nose,33,Alice Levine,3,5,,5,1,8,126,,,,
1203,255,Make the biggest bubble and burst it with your nose,34,Asim Chaudhry,1=,3,,3,3,5,130,,,,
1204,255,Make the biggest bubble and burst it with your nose,35,Liza Tarbuck,4=,4,,4,2,5,162,,,,
1205,255,Make the biggest bubble and burst it with your nose,36,Russell Howard,4=,1,,1,5,5,148,,,,
1206,255,Make the biggest bubble and burst it with your nose,37,Tim Vine,1=,2,,2,4,7,153,,,,
1207,256,Perform a number from the Taskmaster musical,33,Alice Levine,2=,3,,3,1=,11,129,11,Alice and Russell,,
1208,256,Perform a number from the Taskmaster musical,34,Asim Chaudhry,1=,2,,2,2=,7,132,12,"Asim, Liza and Tim",,
1209,256,Perform a number from the Taskmaster musical,35,Liza Tarbuck,1=,2,,2,2=,7,164,12,"Asim, Liza and Tim",,
1210,256,Perform a number from the Taskmaster musical,36,Russell Howard,2=,3,,3,1=,8,151,11,Alice and Russell,,
1211,256,Perform a number from the Taskmaster musical,37,Tim Vine,1=,2,,2,2=,9,155,12,"Asim, Liza and Tim",,
1212,257,Make an outfit with stationery / Guess what pun Tim will make,33,Alice Levine,2,0,,0,,11,129,,,,
1213,257,Make an outfit with stationery / Guess what pun Tim will make,34,Asim Chaudhry,3,0,,0,,7,132,,,,
1214,257,Make an outfit with stationery / Guess what pun Tim will make,35,Liza Tarbuck,4,0,,0,,7,164,,,,
1215,257,Make an outfit with stationery / Guess what pun Tim will make,36,Russell Howard,5,0,,0,,8,151,,,,
1216,257,Make an outfit with stationery / Guess what pun Tim will make,37,Tim Vine,1,2,,2,1,11,157,,,,
1217,258,Make a plastic bag as heavy as possible,33,Alice Levine,3=,3,,3,3,14,132,,,,
1218,258,Make a plastic bag as heavy as possible,34,Asim Chaudhry,1=,4,,4,2,11,136,,,,
1219,258,Make a plastic bag as heavy as possible,35,Liza Tarbuck,3=,5,,5,1,12,169,,,,
1220,258,Make a plastic bag as heavy as possible,36,Russell Howard,1=,2,,2,4,10,153,,,,
1221,258,Make a plastic bag as heavy as possible,37,Tim Vine,5,1,,1,5,12,158,,,,
1222,259,Hold the most points above the ground,33,Alice Levine,0,4,,4,2=,18,136,,,,
1223,259,Hold the most points above the ground,34,Asim Chaudhry,0,1,,1,5,12,137,,,,
1224,259,Hold the most points above the ground,35,Liza Tarbuck,0,2,,2,4,14,171,,,,
1225,259,Hold the most points above the ground,36,Russell Howard,0,5,,5,1,15,158,,,,
1226,259,Hold the most points above the ground,37,Tim Vine,0,4,,4,2=,16,162,,,,
1227,260,The least appropriate wedding accessory,33,Alice Levine,3,3,,3,3,3,139,,,,
1228,260,The least appropriate wedding accessory,34,Asim Chaudhry,4,5,,5,1,5,142,,,,
1229,260,The least appropriate wedding accessory,35,Liza Tarbuck,1,1,,1,5,1,172,,,,
1230,260,The least appropriate wedding accessory,36,Russell Howard,2,4,,4,2,4,162,,,,
1231,260,The least appropriate wedding accessory,37,Tim Vine,5,2,,2,4,2,164,,,,
1232,261,Knock over the fewest bowling pins,33,Alice Levine,3=,3,,3,3=,6,142,,,,
1233,261,Knock over the fewest bowling pins,34,Asim Chaudhry,1=,3,,3,3=,8,145,,,,
1234,261,Knock over the fewest bowling pins,35,Liza Tarbuck,1=,4,,4,2,5,176,,,,
1235,261,Knock over the fewest bowling pins,36,Russell Howard,3=,5,,5,1,9,167,,,,
1236,261,Knock over the fewest bowling pins,37,Tim Vine,3=,1,,1,5,3,165,,,,
1237,262,Blow out a candle from a distance,33,Alice Levine,4=,3,,3,3,9,145,,,,
1238,262,Blow out a candle from a distance,34,Asim Chaudhry,2=,5,,5,1,13,150,,,,
